"LABID","Duplicates","Flags","FIELDID","Animal_ID","Stage_Class","Cruise","Platform","Shipper","Shipper_Organization","Shipped_Date","Received_Date","Collection_Method","Contact_ID","CONTACT_NAME","Organization_ID","Organization","Collector","Collector_Organization","Acknowledgement","Label","LAB","Species_ID","SpCode","SpType","Species_Type","SpName","Genus","Species","CommonName","SubSpecies","Species_Determ_List","USE","Restrict_Description","Date_Collected","YR","MO","DA","Location","City","Island","County","State","Country","Latitude","Latitude_Precision","Latitude_Precision_Unit","Longitude","Longitude_Precision","Longitude_Precision_Unit","OBasin","Ocean_Basin","SEX","Gender_Determination","ACCESSIONDATE","Repository_Numbers","COMMENTS","Record_Creation_Date","Edit_User","Edit_Date"
102535,,,"ZEN100614.07b",226738,,,,,,,,"BIOPSY (PROJECTILE)",501,"ERIN OLESON",453,"NMFS, PACIFIC ISLAND FISHERIES SCIENCE CENTER",,,,,"ARC",31,"031","C","CETACEA","P ele","Peponocephala","electra","Melon headed-whale",,,"Y","Donator requested that PI request permission to use in study","06/14/2010",2010,6,14,,,"Palmyra Atoll",,"U.S. MINOR OUTLYING ISLANDS","UNITED STATES OF AMERICA",5.916666,1,"Minute",-162.05,1,"Minute",1,"North Pacific","U",,11/11/2010 0:00:00,,,5/31/2012 16:26:13,"dan.prosperi",6/14/2022 7:42:47
102556,,,"ZEN100620.09b",226759,,,,,,,,"BIOPSY (PROJECTILE)",501,"ERIN OLESON",453,"NMFS, PACIFIC ISLAND FISHERIES SCIENCE CENTER",,,,,"ARC",31,"031","C","CETACEA","P ele","Peponocephala","electra","Melon headed-whale",,,"Y","Donator requested that PI request permission to use in study","06/20/2010",2010,6,20,,,"Palmyra Atoll",,"U.S. MINOR OUTLYING ISLANDS","UNITED STATES OF AMERICA",5.933333,1,"Minute",-162.05,1,"Minute",1,"North Pacific","U",,11/11/2010 0:00:00,,,5/31/2012 16:26:13,"dan.prosperi",6/14/2022 7:42:47
102557,,,"ZEN100620.10b",226760,,,,,,,,"BIOPSY (PROJECTILE)",501,"ERIN OLESON",453,"NMFS, PACIFIC ISLAND FISHERIES SCIENCE CENTER",,,,,"ARC",31,"031","C","CETACEA","P ele","Peponocephala","electra","Melon headed-whale",,,"Y","Donator requested that PI request permission to use in study","06/20/2010",2010,6,20,,,"Palmyra Atoll",,"U.S. MINOR OUTLYING ISLANDS","UNITED STATES OF AMERICA",5.866666,1,"Minute",-162.116666,1,"Minute",1,"North Pacific","U",,11/11/2010 0:00:00,,,5/31/2012 16:26:14,"dan.prosperi",6/14/2022 7:42:47
103987,,,"RWB2011OCT31.01",227565,,,,,,,,"BIOPSY (PROJECTILE)",673,"ROBIN BAIRD",255,"CASCADIA RESEARCH COLLECTIVE",,,,,"ARC",31,"031","C","CETACEA","P ele","Peponocephala","electra","Melon headed-whale",,,"Y","Donator requested that PI request permission to use in study","10/31/2011",2011,10,31,,,,,"HAWAII","UNITED STATES OF AMERICA",19.983333,1,"Minute",-156.083333,1,"Minute",1,"North Pacific","U",,1/6/2012 0:00:00,,,5/31/2012 16:26:36,"dan.prosperi",6/10/2022 15:33:43
103997,,,"IEMS 007",227575,,,,,,,,"STRANDING",492,"EDNA SABATER",501,"SILLIMAN UNIVERSITY, MARINE LABORATORY",,,"Drs. M.L.L. Dolar and W.F. Perrin",,"WFP",31,"031","C","CETACEA","P ele","Peponocephala","electra","Melon headed-whale",,,"Y","Donator requested that PI request permission to use in study","03/07/2011",2011,3,7,"Dumaguete",,"Negros",,,"PHILIPPINES",,,,,,,1,"North Pacific","U",,1/10/2012 0:00:00,,"PCR product, stranding.  Additional contact: Pablina Cadiz.",5/31/2012 16:26:36,"dan.prosperi",6/23/2022 15:39:29
104014,,,"ZEN110503.01",227592,,,,,,,,"BIOPSY (PROJECTILE)",501,"ERIN OLESON",453,"NMFS, PACIFIC ISLAND FISHERIES SCIENCE CENTER",,,,,"ARC",31,"031","C","CETACEA","P ele","Peponocephala","electra","Melon headed-whale",,,"Y","Donator requested that PI request permission to use in study","05/03/2011",2011,5,3,,,"Palmyra Atoll",,"U.S. MINOR OUTLYING ISLANDS","UNITED STATES OF AMERICA",5.866666,1,"Minute",-162.066666,1,"Minute",1,"North Pacific","U",,1/11/2012 0:00:00,,,5/31/2012 16:26:37,"dan.prosperi",6/14/2022 7:42:47
104015,,,"ZEN110503.02",227593,,,,,,,,"BIOPSY (PROJECTILE)",501,"ERIN OLESON",453,"NMFS, PACIFIC ISLAND FISHERIES SCIENCE CENTER",,,,,"ARC",31,"031","C","CETACEA","P ele","Peponocephala","electra","Melon headed-whale",,,"Y","Donator requested that PI request permission to use in study","05/03/2011",2011,5,3,,,"Palmyra Atoll",,"U.S. MINOR OUTLYING ISLANDS","UNITED STATES OF AMERICA",5.866666,1,"Minute",-162.083333,1,"Minute",1,"North Pacific","U",,1/11/2012 0:00:00,,,5/31/2012 16:26:37,"dan.prosperi",6/14/2022 7:42:47
104016,,,"ZEN110503.03",227594,,,,,,,,"BIOPSY (PROJECTILE)",501,"ERIN OLESON",453,"NMFS, PACIFIC ISLAND FISHERIES SCIENCE CENTER",,,,,"ARC",31,"031","C","CETACEA","P ele","Peponocephala","electra","Melon headed-whale",,,"Y","Donator requested that PI request permission to use in study","05/03/2011",2011,5,3,,,"Palmyra Atoll",,"U.S. MINOR OUTLYING ISLANDS","UNITED STATES OF AMERICA",5.866666,1,"Minute",-162.083333,1,"Minute",1,"North Pacific","U",,1/11/2012 0:00:00,,,5/31/2012 16:26:37,"dan.prosperi",6/14/2022 7:42:47
104017,,,"ZEN110503.04",227595,,,,,,,,"BIOPSY (PROJECTILE)",501,"ERIN OLESON",453,"NMFS, PACIFIC ISLAND FISHERIES SCIENCE CENTER",,,,,"ARC",31,"031","C","CETACEA","P ele","Peponocephala","electra","Melon headed-whale",,,"Y","Donator requested that PI request permission to use in study","05/03/2011",2011,5,3,,,"Palmyra Atoll",,"U.S. MINOR OUTLYING ISLANDS","UNITED STATES OF AMERICA",5.866666,1,"Minute",-162.083333,1,"Minute",1,"North Pacific","U",,1/11/2012 0:00:00,,,5/31/2012 16:26:37,"dan.prosperi",6/14/2022 7:42:47
104018,,,"ZEN110503.05",227596,,,,,,,,"BIOPSY (PROJECTILE)",501,"ERIN OLESON",453,"NMFS, PACIFIC ISLAND FISHERIES SCIENCE CENTER",,,,,"ARC",31,"031","C","CETACEA","P ele","Peponocephala","electra","Melon headed-whale",,,"Y","Donator requested that PI request permission to use in study","05/03/2011",2011,5,3,,,"Palmyra Atoll",,"U.S. MINOR OUTLYING ISLANDS","UNITED STATES OF AMERICA",5.866666,1,"Minute",-162.083333,1,"Minute",1,"North Pacific","U",,1/11/2012 0:00:00,,,5/31/2012 16:26:37,"dan.prosperi",6/14/2022 7:42:47
