LABID,Latitude,Longitude,Mitogenome haplotype,CR haplotype,Location,Contibutor,Control Region GenBank Accession #,Mitogenome Genbank Accession #
195,34.57,135.36,,K,SOUTHERN JAPAN (MARKET),,,
196,26.34,137.53,,K,SOUTHERN JAPAN (MARKET),,,
197,26.34,137.53,,K,SOUTHERN JAPAN (MARKET),,,
198,26.34,137.53,,K,SOUTHERN JAPAN (MARKET),,,
199,32.41,133.79,,K,SOUTHERN JAPAN (MARKET),,,
200,32.41,133.79,,K,SOUTHERN JAPAN (MARKET),,,
201,35.61,139.85,,K,SOUTHERN JAPAN,,,
202,35.61,139.85,,K,SOUTHERN JAPAN,,,
203,35.61,139.85,,K,SOUTHERN JAPAN,,,
204,35.61,139.85,,K,SOUTHERN JAPAN,,,
205,35.61,139.85,,K,SOUTHERN JAPAN,,,
206,35.61,139.85,,K,SOUTHERN JAPAN,,,
207,33.45,134.74,,L,SOUTHERN JAPAN (MARKET),,,
208,34.07,134.75,,L,SOUTHERN JAPAN (MARKET),,,
209,34.55,135.19,,L,SOUTHERN JAPAN (MARKET),,,
210,35.56,140.04,,M,SOUTHERN JAPAN (MARKET),,,
211,35.56,140.04,,M,SOUTHERN JAPAN (MARKET),,,
212,34.06,134.94,,M,SOUTHERN JAPAN (MARKET),,,
213,34.06,134.94,,M,SOUTHERN JAPAN (MARKET),,,
214,34.06,134.94,,M,SOUTHERN JAPAN (MARKET),,,
215,34.06,134.94,,M,SOUTHERN JAPAN (MARKET),,,
216,34.06,134.94,,M,SOUTHERN JAPAN (MARKET),,,
217,34.06,134.94,,M,SOUTHERN JAPAN (MARKET),,,
218,34.06,134.94,,M,SOUTHERN JAPAN (MARKET),,,
219,34.06,134.94,,M,SOUTHERN JAPAN (MARKET),,,
220,34.06,134.94,,M,SOUTHERN JAPAN (MARKET),,,
221,35.45,129.4,,M,SOUTHERN JAPAN (MARKET),,,
223,35.55,139.81,,M,SOUTHERN JAPAN,,,
224,35.55,139.81,,M,SOUTHERN JAPAN,,,
225,35.55,139.81,,M,SOUTHERN JAPAN,,,
226,35.55,139.81,,M,SOUTHERN JAPAN,,,
227,35.55,139.81,,M,SOUTHERN JAPAN,,,
228,35.55,139.81,,M,SOUTHERN JAPAN,,,
229,35.55,139.81,,M,SOUTHERN JAPAN,,,
230,35.55,139.81,,M,SOUTHERN JAPAN,,,
231,35.55,139.81,,M,SOUTHERN JAPAN,,,
232,35.55,139.81,,M,SOUTHERN JAPAN,,,
233,35.55,139.81,,M,SOUTHERN JAPAN,,,
234,35.55,139.81,,M,SOUTHERN JAPAN,,,
235,35.55,139.81,,M,SOUTHERN JAPAN,,,
236,35.55,139.81,,M,SOUTHERN JAPAN,,,
237,35.55,139.81,,M,SOUTHERN JAPAN,,,
238,35.55,139.81,,M,SOUTHERN JAPAN,,,
239,35.55,139.81,,M,SOUTHERN JAPAN,,,
240,35.55,139.81,,M,SOUTHERN JAPAN,,,
241,35.55,139.81,,M,SOUTHERN JAPAN,,,
242,35.55,139.81,,M,SOUTHERN JAPAN,,,
243,34.13,134.98,,N,SOUTHERN JAPAN (MARKET),,,
244,34.13,134.98,,N,SOUTHERN JAPAN (MARKET),,,
258,35.45,129.4,,M,SOUTHERN JAPAN (MARKET),,,
9850,4.866666,73.483333,mtGen10,A,MALDIVES,,,
9869,4.966666,73.55,mtGen10,A,MALDIVES,,,
9871,4.25,73.616666,mtGen37,K,MALDIVES,,,
9872,4,73.566666,mtGen10,A,MALDIVES,,,
9873,4,73.566666,mtGen75,A,MALDIVES,,,
11478,19.333333,-156.066666,,J,BIG ISLAND,,,
11479,19.333333,-156.066666,,J,BIG ISLAND,,,
11481,19.333333,-156.066666,,J,BIG ISLAND,,,
11482,19.333333,-156.066666,,J,BIG ISLAND,,,
11483,19.333333,-156.066666,,J,BIG ISLAND,,,
11484,19.333333,-156.066666,,J,BIG ISLAND,,,
13367,8.7,122.74,mtGen46,14,"SAITON, MALABUHAN",,,
18528,19.233333,-155.983333,,J,KONA COAST,,,
18529,19.233333,-155.983333,,J,KONA COAST,,,
18530,19.233333,-155.983333,,J,KONA COAST,,,
18531,19.233333,-155.983333,,J,KONA COAST,,,
18532,19.233333,-155.983333,,J,KONA COAST,,,
18533,19.233333,-155.983333,,J,KONA COAST,,,
18939,21,-157,,J,LANAI (SW),,,
18940,21,-157,,J,LANAI (SW),,,
18941,21,-157,mtGen01,J,LANAI (SW),,,
18942,21,-157,,J,LANAI (SW),,,
18947,21,-157.666666,,J,LANAI (SW),,,
18948,21,-157.666666,,J,LANAI (SW),,,
18951,21,-157,,J,LANAI (SW),,,
18952,21,-157,,J,LANAI (SW),,,
18953,21,-157,mtGen01,J,LANAI (SW),,,
23968,10.6,103.6,mtGen50,K,"CAMBODIA, KEP",,,
27398,19.633333,-156.066666,,J,KONA COAST,,,
27407,19.3,-155.95,,J,KONA COAST,,,
27408,19.3,-155.95,,J,KONA COAST,,,
27409,19.3,-155.95,,J,KONA COAST,,,
27410,19.3,-155.95,,J,KONA COAST,,,
27412,19.55,-156.033333,,J,KONA COAST,,,
27417,19.533333,-156.033333,,J,KONA COAST,,,
30056,19.6,-156.05,,J,BIG ISLAND,,,
30059,19.6,-156.05,,J,BIG ISLAND,,,
30060,19.6,-156.05,,J,BIG ISLAND,,,
30061,19.7,-156.083333,,J,BIG ISLAND,,,
30062,19.7,-156.083333,,J,BIG ISLAND,,,
30063,19.7,-156.083333,,J,BIG ISLAND,,,
30069,19.616666,-156.083333,,J,BIG ISLAND,,,
30070,19.616666,-156.083333,,J,BIG ISLAND,,,
30082,19.5,-156,,J,BIG ISLAND,,,
30083,19.5,-156,,J,BIG ISLAND,,,
30084,19.5,-156,,J,BIG ISLAND,,,
30085,19.5,-156,,J,BIG ISLAND,,,
30086,19.5,-156,,J,BIG ISLAND,,,
30435,24.983333,-171.85,mtGen51,J,NWHI,,,
30436,24.983333,-171.85,mtGen01,J,NWHI,,,
30437,24.116666,-168.516666,,J,NWHI,,,
30438,24.116666,-168.516666,,J,NWHI,,,
30439,24.116666,-168.516666,mtGen01,J,NWHI,,,
30440,24.116666,-168.516666,,12,NWHI,,,
30441,24.116666,-168.516666,,J,NWHI,,,
30442,24.116666,-168.516666,mtGen52,12,NWHI,,,
30443,24.116666,-168.516666,,12,NWHI,,,
30444,24.116666,-168.516666,mtGen76,J,NWHI,,,
30445,24.116666,-168.516666,,J,NWHI,,,
30446,24.116666,-168.516666,,12,NWHI,,,
30447,24.116666,-168.516666,,J,NWHI,,,
30448,24.116666,-168.516666,,12,NWHI,,,
30455,20.4,-156.633333,,J,KAHOOLAWE,,,
30456,20.4,-156.633333,,J,KAHOOLAWE,,,
30457,20.4,-156.633333,,J,KAHOOLAWE,,,
30458,20.4,-156.633333,,J,KAHOOLAWE,,,
30459,20.4,-156.633333,,J,KAHOOLAWE,,,
30460,20.4,-156.633333,,J,KAHOOLAWE,,,
30461,20.4,-156.633333,,J,KAHOOLAWE,,,
30462,20.4,-156.633333,,J,KAHOOLAWE,,,
30463,20.4,-156.633333,,J,KAHOOLAWE,,,
30464,20.4,-156.633333,,J,KAHOOLAWE,,,
30465,20.4,-156.633333,,J,KAHOOLAWE,,,
30476,25.35,-176.133333,NA,J,NWHI,,,
30508,20.6,-156.966666,,J,LANAI,,,
30511,20.6,-156.966666,,J,LANAI,,,
30518,22.45,-159.766666,NA,J,KAUAI,,,
30519,22.45,-159.766666,,J,KAUAI,,,
30520,22.45,-159.766666,,J,KAUAI,,,
30521,22.45,-159.766666,,J,KAUAI,,,
30527,21.8,-160.733333,,J,NI'IHAU,,,
30528,21.8,-160.733333,,J,NI'IHAU,,,
30530,21.8,-160.733333,,J,NI'IHAU,,,
30531,21.8,-160.733333,,J,NI'IHAU,,,
30532,21.8,-160.7,,J,NI'IHAU,,,
30533,21.8,-160.7,,J,NI'IHAU,,,
33294,-39.333333,177.5,mtGen54,A,"NEW ZEALAND, NORTHLAND",,,
33791,20.85,-157.15,,J,LANAI,,,
33795,20.833333,-157.133333,,J,LANAI,,,
33796,20.833333,-157.15,,J,LANAI,,,
33797,20.85,-157.15,,J,LANAI,,,
33798,20.733333,-157.116666,mtGen01,J,LANAI,,,
33806,20.716666,-157.133333,,J,LANAI,,,
33807,20.716666,-157.133333,,J,LANAI,,,
33808,20.716666,-157.133333,,J,LANAI,,,
33809,20.7,-157.133333,,J,LANAI,,,
33810,20.7,-157.133333,,J,LANAI,,,
33811,20.683333,-157.133333,,J,LANAI,,,
33812,20.716666,-157.133333,,J,LANAI,,,
33813,20.716666,-157.133333,NA,J,LANAI,,,
33814,20.716666,-157.133333,mtGen18,J,LANAI,,,
33815,20.733333,-157.133333,,J,LANAI,,,
33851,21.516666,-158.35,mtGen01,J,OAHU,,,
33852,21.516666,-158.35,mtGen01,J,OAHU,,,
33860,21.55,-158.333333,NA,J,OAHU,,,
33861,21.55,-158.333333,mtGen05,J,OAHU,,,
33862,21.566666,-158.35,,J,OAHU,,,
33878,21.316666,-158.283333,NA,J,OAHU,,,
33879,21.316666,-158.283333,mtGen05,J,OAHU,,,
33880,21.316666,-158.283333,NA,J,OAHU,,,
33881,21.316666,-158.266666,NA,J,OAHU,,,
33882,21.316666,-158.266666,NA,J,OAHU,,,
33883,21.316666,-158.266666,NA,J,OAHU,,,
33911,21.516666,-158.3,,J,OAHU,,,
33912,21.516666,-158.3,,J,OAHU,,,
33913,21.5,-158.283333,,K,OAHU,,,
33914,21.533333,-158.316666,,J,OAHU,,,
33915,21.516666,-158.3,,J,OAHU,,,
33916,21.516666,-158.3,mtGen01,J,OAHU,,,
33917,21.516666,-158.3,,J,OAHU,,,
33939,21.85,-159.95,,J,NI'IHAU,,,
33940,21.85,-159.95,NA,J,NI'IHAU,,,
33941,21.85,-159.95,mtGen01,J,NI'IHAU,,,
33948,21.85,-159.95,,J,NI'IHAU,,,
33949,21.85,-159.95,,J,NI'IHAU,,,
33980,21.9,-159.766666,NA,J,KAUAI,,,
33981,21.916666,-159.766666,mtGen55,J,KAUAI,,,
33982,21.916666,-159.783333,NA,J,KAUAI,,,
33983,21.916666,-159.783333,NA,J,KAUAI,,,
33984,21.916666,-159.8,NA,J,KAUAI,,,
33985,21.916666,-159.8,NA,J,KAUAI,,,
33990,21.916666,-159.766666,NA,J,KAUAI,,,
33991,21.916666,-159.766666,,J,KAUAI,,,
33992,21.916666,-159.766666,,J,KAUAI,,,
45934,19.766666,-156.1,mtGen01,J,BIG ISLAND,,,
49070,4.533333,-163.5,mtGen66,mtGen66,PALMYRA,,,
51015,21.916666,-159.733333,NA,J,KAUAI,,,
51023,21.85,-159.633333,,J,KAUAI,,,
51025,21.85,-159.65,NA,J,KAUAI,,,
51026,21.85,-159.65,NA,J,KAUAI,,,
51028,21.75,-159.5,NA,J,KAUAI,,,
51029,21.75,-159.5,mtGen67,J,KAUAI,,,
51031,21.933333,-159.833333,NA,J,KAUAI,,,
51032,21.933333,-159.833333,NA,J,KAUAI,,,
51033,21.933333,-159.833333,NA,J,KAUAI,,,
51064,21.9,-159.7,,J,KAUAI,,,
55157,19.766666,-156.15,NA,J,BIG ISLAND,,,
55160,19.383333,-155.966666,NA,J,BIG ISLAND,,,
55161,19.3,-155.933333,NA,J,BIG ISLAND,,,
55165,19.45,-156.016666,NA,J,BIG ISLAND,,,
55175,19.683333,-156.083333,NA,J,BIG ISLAND,,,
55209,19.116666,-156,,J,BIG ISLAND,,,
55226,19.716666,-156.15,NA,J,BIG ISLAND,,,
55227,19.716666,-156.15,NA,J,BIG ISLAND,,,
55228,19.7,-156.15,NA,J,BIG ISLAND,,,
55229,19.7,-156.15,NA,J,BIG ISLAND,,,
55230,19.683333,-156.15,NA,J,BIG ISLAND,,,
55234,19.55,-156.033333,mtGen01,J,BIG ISLAND,,,
55238,19.433333,-155.983333,NA,J,BIG ISLAND,,,
55239,19.433333,-155.983333,mtGen01,J,BIG ISLAND,,,
55240,19.433333,-155.983333,NA,J,BIG ISLAND,,,
55241,19.383333,-155.95,NA,J,BIG ISLAND,,,
55242,19.383333,-155.95,NA,J,BIG ISLAND,,,
55243,19.383333,-155.95,NA,J,BIG ISLAND,,,
55244,19.333333,-155.916666,NA,J,BIG ISLAND,,,
55248,19.65,-156.066666,NA,J,BIG ISLAND,,,
55254,19.666666,-156.1,NA,J,BIG ISLAND,,,
61918,19.683333,-156.133333,NA,J,BIG ISLAND,,,
61924,19.266666,-155.933333,,J,BIG ISLAND,,,
61936,19.433333,-156.083333,NA,J,BIG ISLAND,,,
61939,19.433333,-156.066666,NA,J,BIG ISLAND,,,
73899,19.25,-155.933333,NA,J,BIG ISLAND,,,
73901,20.116666,-156.066666,NA,J,BIG ISLAND,,,
74708,28.533333,-147.333333,mtGen68,K,"HI IFS, NORTH OF HAWAIIAN ISLANDS",,,
78785,-3.133333,-167.366666,mtGen19,mtGen19,"High Seas, 470km E of Canton Is.",,,
78786,-3.133333,-167.366666,mtGen19,mtGen19,"High Seas, 470km E of Canton Is.",,,
78787,-3.133333,-167.366666,mtGen69,K,"High Seas, 470km E of Canton Is.",,,
78810,19.216666,-155.916666,NA,J,Main Hawaiian Islands,,,
78812,19.233333,-155.916666,NA,J,Main Hawaiian Islands,,,
78815,19.233333,-155.883333,NA,J,Main Hawaiian Islands,,,
79976,19.683333,-156.133333,NA,J,BIG ISLAND,,,
79978,19.616666,-156.05,NA,J,BIG ISLAND,,,
79980,19.566666,-156.033333,NA,J,BIG ISLAND,,,
79992,19.383333,-155.95,mtGen01,J,BIG ISLAND,,,
80005,19.25,-156.083333,NA,J,BIG ISLAND,,,
88591,19.5,-156.2,NA,J,BIG ISLAND,,,
88594,19.766666,-156.1,mtGen05,J,BIG ISLAND,,,
92242,21.583333,-158.35,mtGen18,J,OAHU,,,
94818,19.333333,-155.983333,NA,J,BIG ISLAND,,,
94820,19.333333,-155.966666,NA,J,BIG ISLAND,,,
102487,21.25,-158.2,,J,OAHU,,,
102493,20.983333,-158.133333,,J,OAHU,,,
102494,20.983333,-158.133333,mtGen01,J,OAHU,,,
102495,20.983333,-158.183333,,J,OAHU,,,
104024,13.583333,144.766666,mtGen03,A,Guam,,,
104027,13.6,144.766666,mtGen03,A,Guam,,,
104028,13.6,144.766666,mtGen03,A,Guam,,,
104029,13.6,144.783333,,A,Guam,,,
104050,15.3,145.7,NA,A,Saipan,,,
104052,15.316666,145.7,,A,Saipan,,,
104053,15.316666,145.683333,mtGen31,A,Saipan,,,
104054,15.3,145.666666,mtGen06,A,Saipan,,,
104055,15.3,145.666666,mtGen06,A,Saipan,,,
104056,15.3,145.666666,NA,A,Saipan,,,
104072,14.116666,145.116666,,A,Rota,,,
104073,14.116666,145.116666,NA,A,Rota,,,
104074,14.116666,145.116666,NA,A,Rota,,,
104075,14.116666,145.116666,mtGen80,A,Rota,,,
104077,14.116666,145.116666,NA,A,Rota,,,
104078,14.116666,145.1,mtGen06,A,Rota,,,
104079,14.116666,145.1,NA,A,Rota,,,
104105,15.016666,145.533333,,A,Saipan,,,
104106,15.016666,145.533333,NA,A,Saipan,,,
104107,15.016666,145.533333,,A,Saipan,,,
104108,15.016666,145.533333,NA,A,Saipan,,,
104109,15,145.533333,mtGen03,A,Saipan,,,
104110,15,145.533333,NA,A,Saipan,,,
108164,13.7,144.816666,NA,mtGen72,Guam,,,
108165,13.716666,144.8,,A,Guam,,,
108166,13.716666,144.8,mtGen72,mtGen72,Guam,,,
108182,14.783333,145.516666,mtGen03,A,Aguijan,,,
108184,14.783333,145.516666,,mtGen72,Aguijan,,,
108185,14.783333,145.516666,,mtGen72,Aguijan,,,
108188,15.033333,145.216666,mtGen06,A,Saipan/Tinian,,,
108189,15.05,145.233333,,A,Saipan/Tinian,,,
108221,13.4,144.6,,A,Guam West,,,
108222,13.4,144.6,mtGen03,A,Guam West,,,
108223,13.416666,144.6,mtGen81,A,Guam West,,,
112632,19.61637,-156.09267,NA,J,BIG ISLAND,,,
112633,19.62104,-156.09984,,J,BIG ISLAND,,,
112634,19.62252,-156.1002,NA,J,BIG ISLAND,,,
112635,19.71416,-156.0977,NA,J,BIG ISLAND,,,
