"LABID","Duplicates","Flags","FIELDID","Animal_ID","Stage_Class","Cruise","Platform","Shipper","Shipper_Organization","Shipped_Date","Received_Date","Collection_Method","Contact_ID","CONTACT_NAME","Organization_ID","Organization","Collector","Collector_Organization","Acknowledgement","Label","LAB","Species_ID","SpCode","SpType","Species_Type","SpName","Genus","Species","CommonName","SubSpecies","Species_Determ_List","USE","Restrict_Description","Date_Collected","YR","MO","DA","Location","City","Island","County","State","Country","Latitude","Latitude_Precision","Latitude_Precision_Unit","Longitude","Longitude_Precision","Longitude_Precision_Unit","OBasin","Ocean_Basin","SEX","Gender_Determination","ACCESSIONDATE","Repository_Numbers","COMMENTS","Record_Creation_Date","Edit_User","Edit_Date"
3056,,,"9313071",184444,,,,,,,,"BYCATCH",413,"ANNE COLLET",311,"CENTRE DE RECHERCHE SUR LES MAMMIFERES MARINS",,,,,"SJC",21,"021","C","CETACEA","G gri","Grampus","griseus","Risso's dolphin",,,"N",,"06/17/1993",1993,6,17,"NE ATLANTIC",,,,,,45.016666,1,"Minute",-19.55,1,"Minute",2,"North Atlantic","F","Field determination: gonads were examined; carcass was examined and dissected.",,,"Source was recorded as ""FISHERY-FRANCE""",5/31/2012 15:58:47,"dan.prosperi",6/22/2022 13:55:26
3067,,,"9313072",184455,,,,,,,,"BYCATCH",413,"ANNE COLLET",311,"CENTRE DE RECHERCHE SUR LES MAMMIFERES MARINS",,,,,"SJC",21,"021","C","CETACEA","G gri","Grampus","griseus","Risso's dolphin",,,"N",,"06/17/1993",1993,6,17,"NE ATLANTIC",,,,,,45.016666,1,"Minute",-19.55,1,"Minute",2,"North Atlantic","F","Field determination: gonads were examined; carcass was examined and dissected.",,,"Source was recorded as ""FISHERY-FRANCE""",5/31/2012 15:58:48,"dan.prosperi",6/22/2022 13:55:26
3077,,,"9313151",184465,,,,,,,,"BYCATCH",413,"ANNE COLLET",311,"CENTRE DE RECHERCHE SUR LES MAMMIFERES MARINS",,,,,"SJC",21,"021","C","CETACEA","G gri","Grampus","griseus","Risso's dolphin",,,"N",,"07/30/1993",1993,7,30,"NE ATLANTIC",,,,,,48.033333,1,"Minute",-14.366666,1,"Minute",2,"North Atlantic","M","Field determination: gonads were examined; carcass was examined and dissected.",,,"Source was recorded as ""FISHERY-FRANCE""",5/31/2012 15:58:48,"dan.prosperi",6/22/2022 13:55:26
3170,,,"9313179",184558,,,,,,,,"BYCATCH",413,"ANNE COLLET",311,"CENTRE DE RECHERCHE SUR LES MAMMIFERES MARINS",,,,,"SJC",21,"021","C","CETACEA","G gri","Grampus","griseus","Risso's dolphin",,,"N",,"06/27/1993",1993,6,27,"NE ATLANTIC",,,,,,45.766666,1,"Minute",-18.7,1,"Minute",2,"North Atlantic","F","Field determination: gonads were examined; carcass was examined and dissected.",,,"Source was recorded as ""FISHERY-FRANCE""",5/31/2012 15:58:49,"dan.prosperi",6/22/2022 13:55:26
3982,,,"S-95-GG-05",185362,,,,,,,,"STRANDING",516,"Gretchen Lovewell",416,"MOTE MARINE LAB",,,,,"ARC",21,"021","C","CETACEA","G gri","Grampus","griseus","Risso's dolphin",,,"N",,"??/??/1995",1995,,,,,,,,,,,,,,,2,"North Atlantic","U",,,,"Gretchen is the new contact (after Nelio Barros) for Mote Marine Lab's stranding samples.",5/31/2012 15:59:03,"dan.prosperi",7/1/2022 10:26:53
4551,,,"9312272",185918,,,,,,,,"BYCATCH",413,"ANNE COLLET",311,"CENTRE DE RECHERCHE SUR LES MAMMIFERES MARINS",,,,,"EIA",21,"021","C","CETACEA","G gri","Grampus","griseus","Risso's dolphin",,,"N",,"12/19/1993",1993,12,19,"MEDITERRANEAN",,,,,,,,,,,,2,"North Atlantic","M","Field determination: external exam only; live animal or carcass was examined but not dissected.",,,"Source was recorded as ""FISHERY-FRANCE""",5/31/2012 15:59:12,"dan.prosperi",6/22/2022 13:55:26
4689,,,"MAC951027.03",186056,,"1995-CADDIS-MAC",,,,,,"BIOPSY (PROJECTILE)",534,"JAY BARLOW",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"JPB",21,"021","C","CETACEA","G gri","Grampus","griseus","Risso's dolphin",,,"N",,"10/27/1995",1995,10,27,"GULF OF CALIFORNIA",,,,,"MEXICO",24.2,1,"Minute",-108.583333,1,"Minute",1,"North Pacific","M","Molecular determination: ZFX/ZFY 5' exonuclease qPCR assay developed at SWFSC.",,,"Alaina Harmon, 30 April 2024: Samples reverted to no external permission required following Jay Barlow's retirement.",5/31/2012 15:59:14,"Alaina.Harmon",4/30/2024 15:09:06
4690,,,"MAC951027.04",186057,,"1995-CADDIS-MAC",,,,,,"BIOPSY (PROJECTILE)",534,"JAY BARLOW",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"JPB",21,"021","C","CETACEA","G gri","Grampus","griseus","Risso's dolphin",,,"N",,"10/27/1995",1995,10,27,"GULF OF CALIFORNIA",,,,,"MEXICO",24.2,1,"Minute",-108.583333,1,"Minute",1,"North Pacific","U",,,,"Alaina Harmon, 30 April 2024: Samples reverted to no external permission required following Jay Barlow's retirement.",5/31/2012 15:59:14,"Alaina.Harmon",4/30/2024 15:09:06
4691,,,"MAC951027.05",186058,,"1995-CADDIS-MAC",,,,,,"BIOPSY (PROJECTILE)",534,"JAY BARLOW",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"JPB",21,"021","C","CETACEA","G gri","Grampus","griseus","Risso's dolphin",,,"N",,"10/27/1995",1995,10,27,"GULF OF CALIFORNIA",,,,,"MEXICO",24.2,1,"Minute",-108.583333,1,"Minute",1,"North Pacific","U",,,,"Alaina Harmon, 30 April 2024: Samples reverted to no external permission required following Jay Barlow's retirement.",5/31/2012 15:59:14,"Alaina.Harmon",4/30/2024 15:09:06
4692,,,"MAC951027.06",186059,,"1995-CADDIS-MAC",,,,,,"BIOPSY (PROJECTILE)",534,"JAY BARLOW",1,"SWFSC",,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,"JPB",21,"021","C","CETACEA","G gri","Grampus","griseus","Risso's dolphin",,,"N",,"10/27/1995",1995,10,27,"GULF OF CALIFORNIA",,,,,"MEXICO",24.2,1,"Minute",-108.583333,1,"Minute",1,"North Pacific","U",,,,"Alaina Harmon, 30 April 2024: Samples reverted to no external permission required following Jay Barlow's retirement.",5/31/2012 15:59:14,"Alaina.Harmon",4/30/2024 15:09:06
